"gene","bulk_logFC","bulk_adjP","module","direction","kME","validation_logFC","direction_concordant","pb_dominant_celltype","pb_log2FC","pb_p","pb_class","composition_adj_class","validation_logFC_full","cross_cohort_concordant","ev_bulk_sig","ev_cross_conc","ev_hub","ev_pb_intrinsic","ev_adj_retain","evidence_layer_count"
"STARD13",1.66371633774325,1.96008117772742e-10,"turquoise","up",0.878786796927111,1.49440588888889,TRUE,"Schwann/tumour",1.86124472227713,0.000111071771745229,"both","attenuated",1.49440588888889,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"THSD4",-1.43134023828064,2.13018078094798e-10,"yellow","down",0.81298538895924,-0.888559990740742,TRUE,"Fibroblast",-0.280541803067786,0.36351385376826,"composition-consistent","retained",-0.888559990740742,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"NCAM1",2.29990070972244,2.40278427652056e-10,"turquoise","up",0.88493449589972,2.49226433333333,TRUE,"Schwann/tumour",3.84103855238641e-06,0.00897258788022711,"both","attenuated",2.49226433333333,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ZFPM2",-1.33274685053431,2.81780232150857e-10,"yellow","down",0.874440566957095,-1.39612772222222,TRUE,"Fibroblast",-0.178858887126223,0.528853942288666,"composition-consistent","retained",-1.39612772222222,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"SAMD9L",1.75634801644025,3.4024999541139e-10,"turquoise","up",0.819406169797533,1.63699546296296,TRUE,"T cell",1.09501496224523,0.000438044446093823,"both","attenuated",1.63699546296296,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"HTATIP2",1.33470462238705,4.1131493472453e-10,"turquoise","up",0.829833998140996,0.579781175925925,TRUE,"Myeloid",0.761570222317728,0.00244116513257584,"both","attenuated",0.579781175925925,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"SHOX2",-1.10306572683269,4.61074608648906e-10,NA,NA,NA,NA,NA,"Fibroblast",-7.30664087821464,1.05933589276602e-24,"both","retained",-1.62829890740741,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"TMOD2",2.47403164725444,4.7184090872231e-10,"turquoise","up",0.838337027321038,0.839042592592596,TRUE,"Schwann/tumour",5.44033852447911e-06,0.0183666616215898,"both","attenuated",0.839042592592596,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"SOX2",2.84800859849422,5.95867731142449e-10,"turquoise","up",0.821137449697428,0.625017129629628,TRUE,"Schwann/tumour",5.86191804399803e-06,0.0345262614385702,"both","attenuated",0.625017129629628,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"EGFR",-2.06827535855359,6.58233965429297e-10,"yellow","down",0.846813793457312,-3.59773544444444,TRUE,"Fibroblast",-0.525177919241284,0.150274525132611,"composition-consistent","retained",-3.59773544444444,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
