"gene","original_logFC","original_adj.P.Val","adjusted_logFC","AveExpr","t","adjusted_P.Value","adjusted_adj.P.Val","B","original_sig","adjusted_sig","classification"
"FKBP6",-0.35864034550424,0.00384117563478366,-0.261253295549471,5.629777683575,-0.881737681480415,0.383639922527377,0.647798925896938,-5.76996923970956,FALSE,FALSE,"neither"
"FKBP7",-0.265377821065533,0.162311820540965,0.434154992149078,8.0489552815,1.09676004872562,0.279871944692828,0.571484923124833,-5.56698904056138,FALSE,FALSE,"neither"
"FKBP8",0.172492811813418,0.100536898224022,0.0962056684856659,10.39933613385,0.346665935897721,0.730813425151849,0.859652096329593,-6.08834745530573,FALSE,FALSE,"neither"
"FKBP9",0.290244266096377,0.0155878623951644,0.823476326718268,7.4134802296,2.7555790686452,0.00905699433625895,0.109213359678981,-2.775927186314,FALSE,FALSE,"neither"
"FKBPL",-0.0426966046198913,0.622964003640113,0.433221954085212,7.76082301925,2.14518360182663,0.0385947691986711,0.234327316284013,-4.0258823123126,FALSE,FALSE,"neither"
"FKRP",-0.090612357048574,0.356008740455123,0.232531690784244,8.3194446739,0.985673356501015,0.330718982089877,0.610337267947502,-5.67707627722835,FALSE,FALSE,"neither"
"FKTN",0.56376719543485,0.00015462636844669,0.466717057403051,6.883360822875,1.38794702120847,0.173500108155701,0.470192348157959,-5.22718438472326,FALSE,FALSE,"neither"
"FLACC1",-0.246986052189668,0.0490994093906729,-0.945305151691415,6.5451876442,-3.29304930751077,0.00219484833392894,0.0481063213180289,-1.51410550761504,FALSE,FALSE,"neither"
"FLAD1",0.182126189330765,0.0478848688861676,0.478991328465233,8.0733278913,2.00432974656944,0.0524227232516698,0.275350393605618,-4.28123797433647,FALSE,FALSE,"neither"
"FLCN",0.25218882802082,0.0191549740199057,0.0664168864380246,8.308299304125,0.24016933336413,0.811530549759686,0.905253081385081,-6.11892559185758,FALSE,FALSE,"neither"
"FLG",-0.45540930552814,0.0107021593343166,-0.541246411859998,7.249690283325,-1.13453473293103,0.26390693707467,0.557658515698146,-5.52705631067598,FALSE,FALSE,"neither"
"FLG2",-0.693708144619892,0.00394719636259589,-0.418932033105158,5.8797418233,-0.690363034808345,0.494297519607091,0.721036065304459,-5.91497032116505,FALSE,FALSE,"neither"
"FLI1",0.552575791847341,0.00804918588126009,1.04163213709522,8.620409784975,2.34227811230987,0.0246874673359143,0.185912400693925,-3.64675936353337,FALSE,FALSE,"neither"
"FLII",0.552187352362378,0.00257031036361118,0.932470902592061,9.82289219175,2.03747517211926,0.0488416286067222,0.265033390400924,-4.22246522585659,FALSE,FALSE,"neither"
"FLNA",0.238312545867389,0.129062285229917,0.747486340989026,11.21839531235,1.89085772758446,0.0665367368818845,0.307043562367322,-4.47696322158218,FALSE,FALSE,"neither"
"FLNB",-0.0588480847910518,0.705981803600326,0.0894195182004468,10.267734624225,0.217810847739163,0.828779813845813,0.914603019635731,-6.12394042994701,FALSE,FALSE,"neither"
"FLNC",-0.847610785250577,0.00716063794820987,0.00853723304892159,8.57731237005,0.0104867869287912,0.991689556754571,0.996905521058787,-6.14714312938899,FALSE,FALSE,"neither"
"FLOT1",0.813619026573635,4.5220334271363e-07,0.604317633923851,10.347949351725,1.76031352690438,0.0866619554939252,0.346467960052419,-4.6904627247646,FALSE,FALSE,"neither"
"FLOT2",0.3163903913724,0.00263469982107557,0.0534109939892941,10.796670833,0.207444842371462,0.836804202020447,0.918428123423506,-6.12610105431054,FALSE,FALSE,"neither"
"FLRT1",0.379219489858906,0.083177852033828,-0.842388750966405,8.27969252445,-1.65210195805137,0.107022834346269,0.380533937779858,-4.85772658826412,FALSE,FALSE,"neither"
"FLRT2",-1.35458050515652,4.53134178713392e-05,-1.98862631900831,6.706135259025,-2.78068854177284,0.00849940267833167,0.105041193147976,-2.72000997252422,TRUE,FALSE,"attenuated"
"FLRT3",2.03415336488358,2.69877957131047e-06,1.82745325052682,8.790156081825,2.19214015204277,0.0347731562406067,0.22168270175585,-3.93792671154457,TRUE,FALSE,"attenuated"
"FLT1",-0.178576624191209,0.502538348166259,0.772085862511924,8.05599041485,1.39258795433971,0.172102391912344,0.468554078625117,-5.22118427317067,FALSE,FALSE,"neither"
"FLT3",-0.239840461658443,0.233895267778862,0.39345494252364,6.705987153475,1.11601901599926,0.271648857714184,0.564810583929852,-5.5467871948319,FALSE,FALSE,"neither"
"FLT3LG",-0.0596847301010008,0.498153182113313,0.022523625703889,8.976398848125,0.0981498291130773,0.922345069776888,0.961462754562589,-6.14247231524999,FALSE,FALSE,"neither"
"FLT4",-0.465136837887432,9.84950250302865e-05,0.360307721809509,7.25753903075,1.68699738440361,0.100049674625566,0.369876983029144,-4.80474589968964,FALSE,FALSE,"neither"
