gene,logFC,P.Value,adj.P.Val
DEGS1,1.18281036511951,7.99877795247759e-08,1.16669044074522e-06
KCTD3,1.28057931532691,8.28515961484598e-08,1.20109630780831e-06
ANKRD28,1.12548215930995,8.45138242932419e-08,1.21834904105931e-06
PDGFA,1.14722131983809,8.59444690693873e-08,1.23360353627979e-06
SHROOM3,1.23775461920895,8.59991384941126e-08,1.23360353627979e-06
ERMARD,1.01691309761218,8.70522677944965e-08,1.2476771681911e-06
SESN1,1.47585897734464,8.74572510047405e-08,1.25141143303893e-06
HLA-DRA,1.77539852389669,8.90411559707795e-08,1.26883647258361e-06
LAIR1,1.43361900026831,8.93428310875013e-08,1.27208921699607e-06
RASA3,1.0579306420586,9.01104878991185e-08,1.2798643723901e-06
PPP1R9A,1.18517859048342,9.09024388191849e-08,1.28899955798596e-06
IFIT5,1.08251595232845,9.15672235647446e-08,1.29736455431717e-06
SEMA5A,1.60820780479491,9.19341312461291e-08,1.30149887764128e-06
SLC27A1,1.1435988730478,9.20227809958327e-08,1.30169040742513e-06
CXCR4,1.7761611653246,9.21550801273257e-08,1.3024985550133e-06
TMTC1,-1.61755436402159,9.44467258244759e-08,1.32557485414863e-06
FIGN,1.14778625890131,9.5445681770988e-08,1.33809285900298e-06
APLNR,-1.83513958260061,9.55862596335998e-08,1.33898036130236e-06
MAP4K3,1.42136415534156,9.70469191191727e-08,1.35622072719066e-06
LILRB4,1.64820488401465,9.70518064240777e-08,1.35622072719066e-06
NRK,-1.33737984985813,9.98597418452582e-08,1.38873965224289e-06
PHACTR4,1.20258792976407,1.01859952743777e-07,1.41315393206099e-06
CADPS,-1.24520381596762,1.02612775218268e-07,1.42132227736383e-06
DOK6,1.43739532863531,1.04394103196747e-07,1.4436879650385e-06
KLK6,-1.41128877838473,1.04721194830326e-07,1.44705651038269e-06
DENND1B,1.04297314783192,1.05636741566053e-07,1.45738332631892e-06
ADGRE3,-1.0871315336091,1.06385100578949e-07,1.46421050264657e-06
QNG1,1.02780969133308,1.06744667021632e-07,1.46682917537735e-06
PIGK,1.37033366892136,1.0846034122748e-07,1.48334711348838e-06
EDNRA,-1.61458846831919,1.11576555304182e-07,1.52236106323691e-06
AATK,1.03160533152969,1.13673987306435e-07,1.54675416619489e-06
POGLUT1,1.15604652934079,1.13848441962598e-07,1.54675416619489e-06
IFNAR1,1.31066830012182,1.15146031991716e-07,1.56167760217389e-06
FAM13C,-1.15249260881573,1.1521274468866e-07,1.56167760217389e-06
MAN2B1,1.16567121282036,1.15482319314754e-07,1.56212149030918e-06
HSPB8,-1.91257311652968,1.17394145267841e-07,1.58506505959148e-06
PLXNB3,1.18105261503316,1.17661627655908e-07,1.5866464467094e-06
IFNGR1,1.16613702226677,1.19103308514435e-07,1.59986211623111e-06
CNP,1.1669679896916,1.23704524222387e-07,1.65781283505455e-06
LAMB1,1.42881397686276,1.24528214475336e-07,1.66498834909616e-06
SVEP1,-1.34692083451966,1.27028014137199e-07,1.69448916779784e-06
CLN5,1.13903337400848,1.2932068036994e-07,1.71308678773992e-06
SELP,-1.33888889006399,1.3055683377564e-07,1.72522061048411e-06
MERTK,1.81115372572552,1.30706232700418e-07,1.72522061048411e-06
FEZ1,1.30599564407787,1.33391888640285e-07,1.75639410817543e-06
ARHGDIG,1.38497327814881,1.34789346066648e-07,1.77075798987329e-06
WDR47,1.31297143584734,1.3540516592969e-07,1.77615496989377e-06
ZNF25,1.23507355253432,1.39066734633494e-07,1.82005164481056e-06
GRIK3,1.91657639105629,1.40078420124381e-07,1.83190857653983e-06
AIF1,1.02007298087587,1.41722062689514e-07,1.85200595949012e-06
P2RY13,1.56573927747726,1.45400629086866e-07,1.89864514002805e-06
SFRP2,-2.39893537465767,1.47859738821508e-07,1.92785068043573e-06
CORO2B,1.19267720345721,1.51446676428432e-07,1.96280329779497e-06
S100A12,-2.39212398430069,1.53191694937909e-07,1.9780221236096e-06
C1QTNF3,-1.12128774381958,1.55159471671145e-07,2.00193844014713e-06
GPR82,1.63678438917502,1.56970043605578e-07,2.02070608284221e-06
CCL19,-1.35192048330069,1.61534178952063e-07,2.07184622715126e-06
MOCS2,1.32088068229607,1.61941505679573e-07,2.0755343272305e-06
IGFBP2,1.51537535546724,1.62212125940709e-07,2.075931845126e-06
RELN,2.0098802631118,1.63818598468157e-07,2.09494367103781e-06
GPR137B,1.48394494445336,1.64885902946871e-07,2.10703755624143e-06
AP1B1,1.26357420289283,1.65615912026282e-07,2.11324928099515e-06
CDKN2A,1.03872421183886,1.67729956535483e-07,2.12924885483286e-06
BRCC3,1.18193049599923,1.6824146148092e-07,2.13417865632605e-06
ACBD5,1.305939934367,1.68970723369153e-07,2.14186151758646e-06
CLIC5,-1.19425904141018,1.72730059849037e-07,2.17835988141493e-06
SECISBP2L,1.05581651601542,1.73076863675766e-07,2.18114610456268e-06
RARRES2,1.15404482549576,1.77460675962236e-07,2.2315229267588e-06
RARB,1.24559541190671,1.77814599820651e-07,2.23435198382324e-06
DUSP3,1.00884056685583,1.78564822530256e-07,2.24215307594513e-06
EXOSC9,1.05393027311719,1.81494956800193e-07,2.27564733099403e-06
CSNK1G3,1.21052558888281,1.83747461567613e-07,2.29393084585274e-06
PLPPR4,-1.33269310279645,1.85651601065185e-07,2.31129069090774e-06
BIRC3,1.50221890556284,1.86775558242002e-07,2.3216979004429e-06
CSF2RA,1.35592922475328,1.96937008027736e-07,2.42884304277908e-06
ORC3,1.13824167498535,1.97423094896056e-07,2.43272717058154e-06
PLOD3,1.17463331628682,2.02175731472776e-07,2.47729263568236e-06
RAB3GAP2,1.0154798105906,2.04679513554821e-07,2.50295455954688e-06
SUCLG2,1.24644320774788,2.05517740181816e-07,2.51143258241926e-06
DKK2,-1.1152882456276,2.10169316749677e-07,2.55925082265524e-06
SLCO1C1,-1.18250063541712,2.13831357849853e-07,2.60018931145421e-06
