ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0018212,peptidyl-tyrosine modification,16/385,199/18805,0.0804020100502513,3.92716830907786,6.00148047613108,3.60726134060748e-06,0.000292261786167586,0.000215738250746536,EGFR/ANGPT1/PDGFRA/FGF10/GPRC5A/FGFR2/THBS4/SFRP2/ERRFI1/EGF/ADIPOQ/KITLG/GREM1/CD36/EFEMP1/IL6,16
GO:0055001,muscle cell development,16/385,202/18805,0.0792079207920792,3.86884402725987,5.92654794345671,4.37602508046863e-06,0.000338474163770945,0.000249850741598386,PI16/SHOX2/PDGFRA/TBX18/PRICKLE1/KRT19/TNNT2/EDNRA/TMOD1/SIX1/RGS4/ACTN2/ACTN1/DNER/MYH11/CAV2,16
GO:0031960,response to corticosteroid,14/385,157/18805,0.089171974522293,4.35552982049797,6.10387275900635,4.42919814412656e-06,0.000338474163770945,0.000249850741598386,ASS1/EGFR/INHBA/GHR/CDO1/ADIPOQ/AQP1/FAM107A/SLIT3/AKR1C3/IL6/STC1/CYP1B1/CLDN1,14
GO:0060541,respiratory system development,17/385,226/18805,0.0752212389380531,3.67411791748075,5.84701595908447,4.43341473956906e-06,0.000338474163770945,0.000249850741598386,ASS1/ZFPM2/EGFR/THRB/PDGFRA/FGF10/GLI1/HHIP/FGFR2/TGFB3/SIX1/ERRFI1/MSC/RBP4/CHI3L1/TNC/MME,17
GO:0033002,muscle cell proliferation,18/385,251/18805,0.0717131474103586,3.50276814818648,5.77097744484678,4.55472568242935e-06,0.000341174735080085,0.00025184421648229,ZFPM2/EGFR/ANGPT1/TACR1/GLI1/FGFR2/NPR1/TGFB3/PDE1A/ADAMTS1/SIX1/ADIPOQ/KCNK2/PPARG/RBP4/IL6/CAV2/OGN,18
GO:1902622,regulation of neutrophil migration,8/385,48/18805,0.166666666666667,8.14069264069264,7.16126825864147,5.29369442242446e-06,0.000383734620731532,0.000283260555247669,CCL21/RIPOR2/DPP4/CXCR2/THBS4/CCL19/IL1R1/CXCL8,8
GO:0048565,digestive tract development,13/385,138/18805,0.0942028985507246,4.6012610577828,6.13857487288816,5.31622270534868e-06,0.000383734620731532,0.000283260555247669,ASS1/CLMP/SHOX2/EGFR/PDGFRA/FGF10/GLI1/FGFR2/KLF5/TGFB3/SFRP2/DACT1/CXCL8,13
GO:0006898,receptor-mediated endocytosis,19/385,280/18805,0.0678571428571429,3.31442486085343,5.64096839069772,5.54589020106967e-06,0.000393164001754403,0.000290221021048458,ANGPT1/CCL21/CAV1/SELE/CXCR1/DPP4/GHR/CXCR2/TMEM108/APLNR/CCL19/EGF/ADIPOQ/CXCL8/LYVE1/ENTREP1/GREM1/CD36/CAV2,19
GO:0090022,regulation of neutrophil chemotaxis,7/385,35/18805,0.2,9.76883116883117,7.50679001039836,5.85453975735863e-06,0.000407763558538838,0.000300997944311845,CCL21/RIPOR2/DPP4/CXCR2/THBS4/CCL19/CXCL8,7
GO:0048546,digestive tract morphogenesis,8/385,49/18805,0.163265306122449,7.97455605618871,7.06732673882606,6.21469345284509e-06,0.000425385051858535,0.000314005563933226,SHOX2/EGFR/PDGFRA/FGF10/GLI1/FGFR2/SFRP2/DACT1,8
