gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
PTCHD4,1.89627607364071,8.0379992625,10.4512833663765,3.52792297099329e-13,6.23794380013997e-11,19.9287811993582
CYB5R1,1.17162554922282,10.01565111765,10.42722285574,3.75288258109837e-13,6.56868175406794e-11,19.8675880305688
TMEM62,1.12970386384426,7.847704748,10.4188375048384,3.85600733303243e-13,6.6816895066786e-11,19.8410242072037
TMEM245,1.31794069880416,10.32720038255,10.412622272463,3.92342424084432e-13,6.73119754904458e-11,19.8239309099071
NPAS2,-0.94232819637702,6.82263645245,-10.3889881793322,4.19352562919131e-13,7.12406001006147e-11,19.7582981412388
P2RY12,2.58332190420895,8.37672901045,10.3568366314673,4.64068545589658e-13,7.80716481357049e-11,19.658891748091
FABP4,-3.92368937910717,5.93509864755,-10.3394030073009,4.88218663663951e-13,8.13447404227783e-11,19.6089423212626
CCDC184,1.54783546587664,9.411242630475,10.3315759104206,4.99472572361146e-13,8.24272450845137e-11,19.5865034473017
ST3GAL6,1.81691024336315,8.51069820695,10.3193637753623,5.17559879791935e-13,8.46063924248552e-11,19.5514770037321
DNASE2,1.5423045548751,9.390024798525,10.302331760757,5.43902328613934e-13,8.75352537781351e-11,19.5025928601657
FBLN1,-2.17751430224903,8.42782537835,-10.3012756825669,5.45579836567324e-13,8.75352537781351e-11,19.4995604919595
ITPR3,1.99724271946184,10.025371873775,10.2929145609948,5.59047682242505e-13,8.8873194843102e-11,19.4755475115454
AKAP7,1.8903391352128,8.390135227275,10.2822455844394,5.76724373109532e-13,9.08498176112906e-11,19.4448927810961
SLC16A4,1.96911780117194,9.556190184825,10.2663130198921,6.0418441717159e-13,9.33894434098873e-11,19.3990859494572
EPB41L4B,2.34258564101928,9.20399628005,10.2636623886897,6.08879970180164e-13,9.33894434098873e-11,19.3914619615391
OSTM1,1.21063766823747,8.612514776925,10.2616881779863,6.09014722144348e-13,9.33894434098873e-11,19.3909930744001
SEMA7A,1.91564438326138,11.0083909705,10.2445928927097,6.43771588258499e-13,9.78532814152918e-11,19.3365847523788
C3AR1,2.22835006900772,9.84140842025,10.235115490337,6.61860808194123e-13,9.90400111699168e-11,19.3092930350474
APOBEC3G,1.66383992888975,8.68700499895,10.2345221924403,6.63010231746904e-13,9.90400111699168e-11,19.307584137087
UBA7,1.31260207601697,9.0923967705,10.2291997012564,6.71043378260554e-13,9.93832449444348e-11,19.2955622407007
SOBP,-1.15042828999691,6.90299832185,-10.2117956422106,7.08599314795732e-13,1.03416432322436e-10,19.2420885070993
ADAMTS3,-1.45682012848805,6.4684785545,-10.2110190852668,7.10212110247572e-13,1.03416432322436e-10,19.2398493258788
KHDRBS3,1.34534577903701,9.59864886235,10.1168921185209,9.32856233052109e-13,1.3397276210172e-10,18.9710801814987
TMEM176B,1.3896121553485,11.163910130375,10.1170965662124,9.35520787991006e-13,1.3397276210172e-10,18.9684315788577
EPB41L2,1.72512974855898,11.3047058077,10.0962076629607,9.94797394003025e-13,1.4129384625643e-10,18.9079066497343
KCNT2,-1.05141721708789,4.7556867253,-10.0774293680341,1.04571184685693e-12,1.47317844571845e-10,18.8584778237616
CXCL1,-1.43790626510563,7.610153715425,-10.0616156634569,1.10146866572724e-12,1.53921363223561e-10,18.8075496331257
TREM2,2.41605049740016,9.32923026205,10.0585477127998,1.11147262617498e-12,1.54076781330881e-10,18.7986413225429
RASGEF1C,1.39155756773015,8.61083315895,10.0510477933911,1.13631832837698e-12,1.56270825350129e-10,18.7768587764124
TMEM176A,2.35674474703316,11.9594309682,10.0385152699681,1.17910063191927e-12,1.60877604329899e-10,18.7404429989007
MR1,1.41688461354356,8.5292595841,10.0341501170785,1.19438278297945e-12,1.61689569245843e-10,18.7277542660327
CXorf38,0.859839857267541,8.06396943035,10.0105061239229,1.26616269636882e-12,1.70078040330844e-10,18.6697009486693
BBS12,1.36752625489052,7.700166449325,10.0016450996728,1.31468736003217e-12,1.75237712112595e-10,18.6331883467479
HLA-DOA,2.04220656458905,9.54451235155,9.98292849742861,1.38946666225211e-12,1.83791437584004e-10,18.5786731040532
TLR3,1.70444877183346,8.955720412675,9.97887012955626,1.40624255838156e-12,1.84601295845725e-10,18.566846304652
SPATA13,1.82196172314495,9.497820083525,9.96574399477431,1.46192202649441e-12,1.90467555451842e-10,18.5285795025759
RFLNB,-0.697468057113335,8.6600390422,-9.95854521099297,1.47659054541173e-12,1.90942992320107e-10,18.5181935411861
STARD13,1.66371633774325,9.5882350802,9.95101458526439,1.52707155466991e-12,1.96008117772742e-10,18.4856115080542
SEMA4B,1.41304356443408,9.214306808075,9.93578131239232,1.59755179895866e-12,2.02148831192922e-10,18.4411434942601
SMIM29,1.08227639589206,10.2404578441,9.93296267909796,1.5982450296301e-12,2.02148831192922e-10,18.4403311957387
THSD4,-1.43134023828064,7.085086400225,-9.91551317841755,1.69647361363586e-12,2.13018078094798e-10,18.3819305125092
FRMD4A,1.31134645728836,9.4007368184,9.89539222519595,1.79487243220946e-12,2.23203617420076e-10,18.3261967944312
PLCH1,1.59213120001311,7.8721729065,9.89492013437264,1.80335332633948e-12,2.23203617420076e-10,18.3217128050856
NCAM1,2.29990070972244,11.44932222765,9.86770304609655,1.95517418622691e-12,2.40278427652056e-10,18.2420394995839
HSPB6,-1.13928885440941,7.504535023425,-9.85015463941085,2.05987610475486e-12,2.513629094591e-10,18.1906179035584
IGDCC4,-0.891311647075558,6.686347169075,-9.84127865378523,2.10000080545503e-12,2.54467230468005e-10,18.1712488244457
ZNF423,-0.924394410317655,6.4431986615,-9.83776912543475,2.12205307433121e-12,2.55353719944522e-10,18.1609512859625
ZFPM2,-1.33274685053431,6.2930467556,-9.8029529087485,2.37063424146356e-12,2.81780232150857e-10,18.0521033487067
CHPF,1.40141390432614,9.7335521862,9.80245034491692,2.37418708991373e-12,2.81780232150857e-10,18.0506269918418
APOBEC3A_B,-1.44456058388974,7.197596896375,-9.78183055140572,2.52471139712065e-12,2.97606796525896e-10,17.9900247346076
G0S2,-2.85252142053739,8.6205891277,-9.74184040394779,2.84481659706e-12,3.32391490961528e-10,17.8723339194534
SLC15A3,2.19391726891982,10.439345305825,9.74027322302091,2.85816782971305e-12,3.32391490961528e-10,17.8677174621632
RGS6,-1.10608479937471,5.823531391575,-9.73546370522794,2.8894934574202e-12,3.33794284201182e-10,17.8567942031488
PROCR,-0.947362250595219,8.791594551025,-9.72595093764918,2.95104934642481e-12,3.38647570032113e-10,17.8356366754639
SAMD9L,1.75634801644025,8.549157562775,9.7236711154527,3.00356902555659e-12,3.4024999541139e-10,17.8187928395475
TDRD7,1.45049558940787,8.198645725975,9.72359140481221,3.00428493178339e-12,3.4024999541139e-10,17.8185578542387
FAM180A,-1.38393814148651,6.386533882375,-9.71883287092162,3.04733784005043e-12,3.42884870729831e-10,17.8045282961226
