"gene","bulk_logFC","dominant_celltype","pb_log2FC_in_dom","pb_p_in_dom","dom_pct_shift_VS_minus_Nerve","class"
"ASS1",-1.84372547330069,"内皮",-3.2472154105853e-08,0.968374258940989,-16.73,"composition-consistent"
"KCNMB4",2.30494496324904,"Schwann/肿瘤细胞",3.82733129229971e-06,0.0193144914790774,21.18,"both"
"JAKMIP2",2.31392950279414,"Schwann/肿瘤细胞",0.990503397920201,0.00195079514151303,21.18,"both"
"VLDLR",2.22164568815652,"周细胞",-2.12444807878168,2.75315200213971e-05,-23.07,"ambiguous/undetermined"
"NRXN1",2.55282899089129,"Schwann/肿瘤细胞",1.69370850045291e-06,0.302870303429425,21.18,"composition-consistent"
"LOC653653",2.51315545809792,NA,NA,NA,NA,"ambiguous/undetermined"
"ST6GALNAC2",2.5353096514973,"Schwann/肿瘤细胞",1.19960939727362e-06,0.355575641796927,21.18,"composition-consistent"
"FOXP2",-1.24795212342945,"成纤维",-0.177973761850028,0.470911098862818,-42.35,"composition-consistent"
"ANK3",2.41360839996531,"Schwann/肿瘤细胞",3.83421478955892e-07,0.84464414380736,21.18,"composition-consistent"
"PDE1C",1.54964784448034,"Schwann/肿瘤细胞",3.55471426707714e-06,0.485839042946493,21.18,"composition-consistent"
"CLMP",-1.89879292869622,"成纤维",-0.0785042321962946,0.731306448868617,-42.35,"composition-consistent"
"ARHGAP24",1.6093174779229,"巨噬/髓系",1.16498668389444,0.000626347053471466,45.88,"both"
"PPFIBP2",1.59844644115266,"巨噬/髓系",4.856882157829e-06,0.203939772117759,45.88,"composition-consistent"
"RCAN3",1.44529347103932,"T细胞",-8.52696377956105e-06,0.743948108896607,15.09,"composition-consistent"
"SLIT2",2.43801622682961,"Schwann/肿瘤细胞",-4.23662991326072e-06,0.0822948774364201,21.18,"composition-consistent"
"RENBP",1.21845005830224,"巨噬/髓系",1.45330953709639e-06,0.440312335438916,45.88,"composition-consistent"
"IL34",1.98184804847109,"Schwann/肿瘤细胞",-3.90007807047256e-06,0.107904666148345,21.18,"composition-consistent"
"PI16",-2.45110687645952,"成纤维",-0.305390818659558,0.0537059753164188,-42.35,"composition-consistent"
"STS",2.07332262642791,"Schwann/肿瘤细胞",1.73298090776141e-06,0.0671089099487989,21.18,"composition-consistent"
"MET",2.20364965756052,"内皮",-3.66281390462999e-06,0.0313266195494581,-16.73,"ambiguous/undetermined"
"CCND1",1.62749978802853,"Schwann/肿瘤细胞",1.89148461537039,3.34117722622909e-07,21.18,"both"
"CCDC9B",1.28158751753585,"Schwann/肿瘤细胞",2.11910478426157e-06,0.104481551905129,21.18,"composition-consistent"
"KCNJ15",-1.34280532483731,"内皮",2.25576402443203e-07,0.823463929519974,-16.73,"composition-consistent"
"PAK3",-2.11744213773169,"成纤维",-2.52101187934565,0.000774935409193424,-42.35,"both"
"SORCS1",2.43272390078489,"Schwann/肿瘤细胞",-1.36277979131042e-07,0.9343307061811,21.18,"composition-consistent"
"SDC3",1.61358616399769,"Schwann/肿瘤细胞",3.14589827765544e-06,0.0180100152935797,21.18,"both"
"GPR34",3.57715594829298,"巨噬/髓系",0.643356472006747,0.00397882495349973,45.88,"both"
"GFRA1",2.17695898543717,"Schwann/肿瘤细胞",1.00735238730527e-06,0.0265760235352798,21.18,"both"
"ADAM23",3.23099041546723,"Schwann/肿瘤细胞",1.07989119646951e-06,0.0479148295320271,21.18,"both"
"AFDN",-1.54152593546106,"内皮",1.14312323469131e-07,0.978096105749322,-16.73,"composition-consistent"
"ZNF347",2.20932388272167,"内皮",-1.5289172825605e-06,0.468039655329138,-16.73,"ambiguous/undetermined"
"MARCHF1",1.91409955121974,NA,NA,NA,NA,"ambiguous/undetermined"
"FCGR3A",3.0853493726091,"巨噬/髓系",2.18786418365465,1.74189675239465e-06,45.88,"both"
"RAB3C",-1.26123363403701,"内皮",-7.75225141288306e-06,0.000847685345661009,-16.73,"both"
"SPATA18",1.80747274063608,"Schwann/肿瘤细胞",1.39751664788448e-06,0.211481635129652,21.18,"composition-consistent"
"AHR",1.86115715594218,"Schwann/肿瘤细胞",2.65690909302644e-06,0.0246658898080667,21.18,"both"
"LGALS3BP",1.70577841284118,"Schwann/肿瘤细胞",1.1763713508054,0.000269860479367082,21.18,"both"
"MCAM",1.93450001753971,"周细胞",-0.0526271110013122,0.800389749731451,-23.07,"ambiguous/undetermined"
"TUBB2B",1.65630017832074,"Schwann/肿瘤细胞",1.70701145379445,2.90958601740542e-05,21.18,"both"
"MFSD11",1.16849534049036,"巨噬/髓系",8.15032048839475e-06,0.0403911368736371,45.88,"both"
"SEMA3B",2.39043737306477,"Schwann/肿瘤细胞",3.59681376900687e-06,0.0918850689203071,21.18,"composition-consistent"
"NRCAM",2.4107897716569,"Schwann/肿瘤细胞",2.73342126986401e-06,0.00262887916612793,21.18,"both"
"DHRS3",1.39533378988281,"成纤维",-1.86042548597034,0.000355526042749517,-42.35,"ambiguous/undetermined"
"RAB31",1.53927247963763,"Schwann/肿瘤细胞",2.447378676274,1.82830983899902e-05,21.18,"both"
"AK3",1.13176549778258,"Schwann/肿瘤细胞",8.12024453530592e-06,0.0253350685186088,21.18,"both"
"HPS5",1.63957722372244,"Schwann/肿瘤细胞",-1.61597185264744e-05,0.435318465141901,21.18,"composition-consistent"
"ARSK",1.57354672762375,"Schwann/肿瘤细胞",1.97723492322489e-06,0.232057762692953,21.18,"composition-consistent"
"GAL3ST4",1.36184340383501,"巨噬/髓系",2.85818531435262,2.52613555191055e-05,45.88,"both"
"TJP2",-1.84906183566075,"成纤维",-0.142945845502441,0.387515417429465,-42.35,"composition-consistent"
"APOL4",-1.29646911157594,"成纤维",-0.496699276196992,0.135553413046122,-42.35,"composition-consistent"
"GFRA3",3.60499927038551,"Schwann/肿瘤细胞",-1.31848290153725e-05,0.16538790838863,21.18,"composition-consistent"
"PTCHD4",1.89627607364071,"Schwann/肿瘤细胞",3.23954719219447,0.00559975464008393,21.18,"both"
"CYB5R1",1.17162554922282,"Schwann/肿瘤细胞",-7.53571329509989e-06,0.231541127549165,21.18,"composition-consistent"
"TMEM62",1.12970386384426,"内皮",-2.62714823286442e-06,0.208662285850186,-16.73,"ambiguous/undetermined"
"TMEM245",1.31794069880416,"Schwann/肿瘤细胞",-1.5947184079742e-07,0.95737987318076,21.18,"composition-consistent"
"P2RY12",2.58332190420895,"巨噬/髓系",2.73720833832714,3.80309215507395e-06,45.88,"both"
"FABP4",-3.92368937910717,"内皮",-1.33065091156793e-06,0.0187817704324611,-16.73,"both"
"CCDC184",1.54783546587664,"Schwann/肿瘤细胞",4.87086304865773e-06,0.0546469978904937,21.18,"composition-consistent"
"ST3GAL6",1.81691024336315,"巨噬/髓系",1.23359922623147,1.01463377366489e-05,45.88,"both"
"DNASE2",1.5423045548751,"巨噬/髓系",3.57207801551398,4.47716469908629e-09,45.88,"both"
"FBLN1",-2.17751430224903,"成纤维",-3.07429333330082,0.0066300966118776,-42.35,"both"
"ITPR3",1.99724271946184,"Schwann/肿瘤细胞",1.32653977782898e-06,0.530077368630929,21.18,"composition-consistent"
"AKAP7",1.8903391352128,"Schwann/肿瘤细胞",5.65342971202656e-06,0.0193507539806493,21.18,"both"
"SLC16A4",1.96911780117194,"Schwann/肿瘤细胞",1.37309530056629e-06,0.416969371433486,21.18,"composition-consistent"
"EPB41L4B",2.34258564101928,"Schwann/肿瘤细胞",1.75783985381947e-06,0.19163049358706,21.18,"composition-consistent"
"OSTM1",1.21063766823747,"巨噬/髓系",1.58795141045219e-06,0.484381898838704,45.88,"composition-consistent"
"SEMA7A",1.91564438326138,"Schwann/肿瘤细胞",2.21072790716753e-06,0.0360229569582346,21.18,"both"
"C3AR1",2.22835006900772,"巨噬/髓系",4.00625554348487e-06,0.0277936039300145,45.88,"both"
"APOBEC3G",1.66383992888975,"T细胞",4.17521361889271e-06,0.00436978035212956,15.09,"both"
"UBA7",1.31260207601697,"巨噬/髓系",3.42617779405638e-06,0.275925471598237,45.88,"composition-consistent"
"SOBP",-1.15042828999691,"成纤维",-0.124744543369341,0.671663883053804,-42.35,"composition-consistent"
"ADAMTS3",-1.45682012848805,"成纤维",-1.27879517696119,0.0239905033075438,-42.35,"both"
"KHDRBS3",1.34534577903701,"Schwann/肿瘤细胞",6.49634481055187e-06,0.0144794943804665,21.18,"both"
"TMEM176B",1.3896121553485,"Schwann/肿瘤细胞",0.994814144064613,0.00174972088051202,21.18,"both"
"EPB41L2",1.72512974855898,"Schwann/肿瘤细胞",-1.16798397244535e-05,0.219626310532884,21.18,"composition-consistent"
"KCNT2",-1.05141721708789,"成纤维",0.152419590882932,0.421586990837579,-42.35,"composition-consistent"
"CXCL1",-1.43790626510563,"巨噬/髓系",-5.19921828303869e-07,0.640270958792343,45.88,"ambiguous/undetermined"
"TREM2",2.41605049740016,"巨噬/髓系",3.51552491415317,6.18019619764392e-08,45.88,"both"
"RASGEF1C",1.39155756773015,"Schwann/肿瘤细胞",1.32916132130967,0.00265061865279991,21.18,"both"
"TMEM176A",2.35674474703316,"Schwann/肿瘤细胞",2.8172490601994e-06,0.00521838908849795,21.18,"both"
"MR1",1.41688461354356,"巨噬/髓系",7.79453025510762e-06,0.0506101574955973,45.88,"composition-consistent"
"BBS12",1.36752625489052,"Schwann/肿瘤细胞",1.57324455576582e-06,0.335973598090921,21.18,"composition-consistent"
"HLA-DOA",2.04220656458905,"巨噬/髓系",1.07652663646745,6.80481616325682e-07,45.88,"both"
"TLR3",1.70444877183346,"巨噬/髓系",1.539653565054,0.000884003211914635,45.88,"both"
"SPATA13",1.82196172314495,"Schwann/肿瘤细胞",1.71974217648652e-06,0.292452335038655,21.18,"composition-consistent"
"STARD13",1.66371633774325,"Schwann/肿瘤细胞",1.86124472227713,0.000111071771745229,21.18,"both"
"SEMA4B",1.41304356443408,"Schwann/肿瘤细胞",1.01496856942468e-06,0.425930944944055,21.18,"composition-consistent"
"SMIM29",1.08227639589206,"Schwann/肿瘤细胞",3.8537302930472e-07,0.722048925926064,21.18,"composition-consistent"
"THSD4",-1.43134023828064,"成纤维",-0.280541803067786,0.36351385376826,-42.35,"composition-consistent"
"FRMD4A",1.31134645728836,"巨噬/髓系",5.17834976818283e-06,0.0157238840787033,45.88,"both"
"PLCH1",1.59213120001311,"Schwann/肿瘤细胞",3.22598664947885e-06,0.0218319381680466,21.18,"both"
"NCAM1",2.29990070972244,"Schwann/肿瘤细胞",3.84103855238641e-06,0.00897258788022711,21.18,"both"
"HSPB6",-1.13928885440941,"周细胞",-2.18873201903975,8.94317374933753e-07,-23.07,"both"
"ZFPM2",-1.33274685053431,"成纤维",-0.178858887126223,0.528853942288666,-42.35,"composition-consistent"
"CHPF",1.40141390432614,"Schwann/肿瘤细胞",2.95998901348457e-06,0.00366084125145836,21.18,"both"
"APOBEC3A_B",-1.44456058388974,NA,NA,NA,NA,"ambiguous/undetermined"
"G0S2",-2.85252142053739,"巨噬/髓系",-5.90210571775852e-07,0.498781829045311,45.88,"ambiguous/undetermined"
"SLC15A3",2.19391726891982,"巨噬/髓系",-8.45068828999754e-07,0.740574882810297,45.88,"composition-consistent"
"RGS6",-1.10608479937471,"周细胞",-0.257874090551735,0.223851292567767,-23.07,"composition-consistent"
"SAMD9L",1.75634801644025,"T细胞",1.09501496224523,0.000438044446093823,15.09,"both"
"TDRD7",1.45049558940787,"巨噬/髓系",2.57918333585147e-06,0.102893427698667,45.88,"composition-consistent"
"FAM180A",-1.38393814148651,"成纤维",-3.64693139875018,2.61276301837045e-05,-42.35,"both"
"XPNPEP2",-1.16592558233307,"成纤维",-2.23680390240713,0.000178716918790733,-42.35,"both"
"NRXN3",2.15304313783963,"Schwann/肿瘤细胞",1.75327373073972e-06,0.190079792463729,21.18,"composition-consistent"
"HTATIP2",1.33470462238705,"巨噬/髓系",0.761570222317728,0.00244116513257584,45.88,"both"
"TRIM14",1.18381703327757,"巨噬/髓系",-2.45079501518307e-06,0.501973003843967,45.88,"composition-consistent"
"KIF16B",1.44174218569314,"Schwann/肿瘤细胞",1.56311582732532e-06,0.386137328879502,21.18,"composition-consistent"
"CACHD1",-1.63026197843793,"内皮",1.32226126047155e-05,0.466849143001868,-16.73,"composition-consistent"
"ADAM17",1.3496846605667,"巨噬/髓系",-2.26567581290522e-06,0.418330672293971,45.88,"composition-consistent"
"ERBB2",1.37636772012722,"Schwann/肿瘤细胞",5.30322449287266e-07,0.103292971085412,21.18,"composition-consistent"
"A4GALT",-1.01979087346183,"成纤维",-0.802487522203388,0.0754758200928104,-42.35,"composition-consistent"
"FIBIN",-2.03742797157209,"成纤维",-2.16404259698404,0.00130774208624048,-42.35,"both"
"SHOX2",-1.10306572683269,"成纤维",-7.30664087821464,1.05933589276602e-24,-42.35,"both"
"CCND2",1.75862173235853,"T细胞",1.52763807673981e-06,0.598772188035017,15.09,"composition-consistent"
"TMOD2",2.47403164725444,"Schwann/肿瘤细胞",5.44033852447911e-06,0.0183666616215898,21.18,"both"
"CADM4",1.95996543689745,"Schwann/肿瘤细胞",-1.56074812642177e-06,0.762151517676305,21.18,"composition-consistent"
"GLRB",1.76522077684426,"Schwann/肿瘤细胞",2.67175645070685e-06,0.010384891867944,21.18,"both"
"RGS1",3.49597391524904,"巨噬/髓系",2.13382150007869e-06,0.0493119095389952,45.88,"both"
"DSG2",-2.01299694605474,"内皮",-1.58439815482168e-05,1.35832135285441e-14,-16.73,"both"
"BLOC1S2",1.0260581288936,"巨噬/髓系",3.76827747197932e-06,0.0535145063547162,45.88,"composition-consistent"
"USP53",2.18211892947263,"成纤维",-0.374928639751432,0.257030494195215,-42.35,"ambiguous/undetermined"
"TRIM22",1.5405785003061,"T细胞",6.16812162409767e-06,0.0754914770959017,15.09,"composition-consistent"
"IFI6",1.78078853007556,"Schwann/肿瘤细胞",2.13863010717644,3.91705416870597e-14,21.18,"both"
"XKR4",1.93841546401003,"Schwann/肿瘤细胞",1.1686394550063e-06,0.3192061269083,21.18,"composition-consistent"
"SOX2",2.84800859849422,"Schwann/肿瘤细胞",5.86191804399803e-06,0.0345262614385702,21.18,"both"
"ARHGEF6",1.88589052147649,"巨噬/髓系",4.11808436258303e-06,0.176624664250816,45.88,"composition-consistent"
"EGFR",-2.06827535855359,"成纤维",-0.525177919241284,0.150274525132611,-42.35,"composition-consistent"
"COL12A1",2.23315621568389,"成纤维",0.0348656013630318,0.90882602954223,-42.35,"ambiguous/undetermined"
"PIK3IP1",1.46339832467464,"T细胞",2.05572206209729e-07,0.904056597713278,15.09,"composition-consistent"
"OBSL1",1.21469660155821,"Schwann/肿瘤细胞",2.15089358820932e-06,0.0856786966470726,21.18,"composition-consistent"
"SMCO3",3.76086593205166,"Schwann/肿瘤细胞",-4.85192845588307e-07,0.701975056245436,21.18,"composition-consistent"
"PPFIA2",-1.11005482010486,"周细胞",-0.583048652529336,0.0591416496733262,-23.07,"composition-consistent"
"CYBB",2.03874474106476,"巨噬/髓系",-1.30131566948317e-07,0.962670500170749,45.88,"composition-consistent"
"ST3GAL4",1.4968429649761,"Schwann/肿瘤细胞",3.20418827680638e-06,0.0160032262776486,21.18,"both"
"ARFIP1",1.3289822996677,"Schwann/肿瘤细胞",2.97693546332451e-06,0.169522474627759,21.18,"composition-consistent"
"CTNNAL1",1.89355755999461,"Schwann/肿瘤细胞",3.2802037410472e-06,0.120479642466437,21.18,"composition-consistent"
"ITGB8",2.38900353778335,"Schwann/肿瘤细胞",2.02387667590189,2.13410688754458e-05,21.18,"both"
"NEK6",1.53552527375328,"Schwann/肿瘤细胞",3.05696474985871e-06,0.109093797242451,21.18,"composition-consistent"
"MDM2",1.26806875730764,"Schwann/肿瘤细胞",1.46321395457466,0.000147484144315224,21.18,"both"
"DRAM1",1.33865914777487,"巨噬/髓系",1.49873199306934e-06,0.256939355773546,45.88,"composition-consistent"
"PPM1K",1.77290238564148,"Schwann/肿瘤细胞",1.50005562302087e-07,0.941010131477327,21.18,"composition-consistent"
"PDE3A",-1.49437891151889,"周细胞",0.00155455192661233,0.998544929900511,-23.07,"composition-consistent"
"TGFBR1",1.27348761683038,"巨噬/髓系",1.15137243744615,5.22914118123124e-05,45.88,"both"
"PARP9",1.47504140065228,"内皮",-1.36654575130734e-07,0.95280986431421,-16.73,"ambiguous/undetermined"
"MICALL2",1.09462605842483,"Schwann/肿瘤细胞",2.04383794147399e-07,0.137867408379139,21.18,"composition-consistent"
"LIPE",-1.01401433900848,"内皮",-1.96572101170152e-06,0.116951007097151,-16.73,"composition-consistent"
"SORCS3",1.94127341042791,"Schwann/肿瘤细胞",1.59965057774159e-06,0.128907394917161,21.18,"composition-consistent"
"CLMN",1.45400698489746,"周细胞",-0.0147477971223,0.94106055642931,-23.07,"ambiguous/undetermined"
"ZRSR2",1.2751885772714,"巨噬/髓系",1.79237843282204e-05,0.961590358764921,45.88,"composition-consistent"
"DDX60",1.63801599131226,"内皮",-1.57685623063613e-06,0.400000813900778,-16.73,"ambiguous/undetermined"
"TMEM140",1.21646694164534,"内皮",2.41604739422766e-09,0.997977270654022,-16.73,"ambiguous/undetermined"
"DPYD",1.18114761279877,"巨噬/髓系",1.47111782352597e-06,0.550475704204573,45.88,"composition-consistent"
"DAG1",1.35907270053354,"Schwann/肿瘤细胞",1.11568662228232e-06,0.49924575956045,21.18,"composition-consistent"
"CYP2U1",1.46640136273632,"Schwann/肿瘤细胞",2.95053272036417e-06,0.0818763014986445,21.18,"composition-consistent"
"WIPI1",1.46265592002236,"Schwann/肿瘤细胞",0.639359034651465,0.004534906108584,21.18,"both"
"ASAP2",1.32940012557132,"Schwann/肿瘤细胞",2.90873833262176e-06,0.0788823207536981,21.18,"composition-consistent"
"HERC6",1.97595477707865,"内皮",8.72591087462868e-07,0.540232057901684,-16.73,"ambiguous/undetermined"
"SP100",1.16493078481034,"T细胞",6.94548631578629e-06,0.0797191716484111,15.09,"composition-consistent"
"PPP1R14A",1.77294667551273,"周细胞",-0.347750610694472,0.16729990677098,-23.07,"ambiguous/undetermined"
"CAB39L",2.57722229259522,"Schwann/肿瘤细胞",-9.2007807101324e-08,0.982544024920399,21.18,"composition-consistent"
"VGLL3",2.03254612718967,"Schwann/肿瘤细胞",2.671183806304e-06,0.0414811917009957,21.18,"both"
"UNC93B1",1.25803191586508,"巨噬/髓系",5.73234992626095e-07,0.61091220321632,45.88,"composition-consistent"
"LOXL3",1.33307969388281,"巨噬/髓系",2.39482090798603e-06,0.266348437515184,45.88,"composition-consistent"
"BCL2",1.45631481676639,"T细胞",6.94278624149923e-07,0.808679856746071,15.09,"composition-consistent"
"RHOJ",2.27255607135775,"Schwann/肿瘤细胞",1.30482563821493,0.00226808056646486,21.18,"both"
"GULP1",2.10171409055359,"Schwann/肿瘤细胞",5.20823597375207e-07,0.348203273381461,21.18,"composition-consistent"
"SCN1B",1.19165191569931,"巨噬/髓系",4.17864183617211e-06,0.0764283689236259,45.88,"composition-consistent"
"FAM171B",-2.06516989125289,"成纤维",-0.321112834475104,0.337114873706757,-42.35,"composition-consistent"
"ANGPT1",-1.80783951236546,"周细胞",-0.744018101229349,0.0275034331232771,-23.07,"both"
"DTX3L",1.4410687005027,"内皮",5.55360249979798e-06,0.788671263756533,-16.73,"ambiguous/undetermined"
"TM6SF1",1.81630319347803,"巨噬/髓系",1.74347563442011,3.23487528747622e-10,45.88,"both"
"PHF11",1.42642520474788,"巨噬/髓系",0.335793574175754,0.00368441762523197,45.88,"both"
"COBL",1.73244704067155,"Schwann/肿瘤细胞",3.0681620954367e-06,0.019765599238045,21.18,"both"
"TSC22D1",1.18591228026137,"周细胞",-0.147574982066403,0.451292788657302,-23.07,"ambiguous/undetermined"
"TLE1",1.63020170967926,"Schwann/肿瘤细胞",2.02097253197499e-06,0.226455182364191,21.18,"composition-consistent"
"ITGA6",1.40748667601928,"Schwann/肿瘤细胞",6.41562892381969e-07,0.730351612111191,21.18,"composition-consistent"
"PTGIS",-1.9471685228828,"成纤维",-1.33310195691228,0.0326776350565751,-42.35,"both"
"GALNT2",1.00604848223747,"Schwann/肿瘤细胞",3.56356973315198e-06,0.00808777933704984,21.18,"both"
"USP32",1.22703795383886,"Schwann/肿瘤细胞",5.14594421816133e-06,0.00859622866432672,21.18,"both"
"NXPE3",1.23601895668929,"内皮",-7.64420931837969e-06,0.00128944412678373,-16.73,"ambiguous/undetermined"
"ZNF536",1.9313292897047,"Schwann/肿瘤细胞",1.1274706394696e-06,0.496949606769223,21.18,"composition-consistent"
"SLC16A12",2.80202055801234,"Schwann/肿瘤细胞",1.9640569526349e-06,0.0915745328721712,21.18,"composition-consistent"
"SLC35D2",1.50765021809869,"Schwann/肿瘤细胞",3.7274702357648e-06,0.287782304547506,21.18,"composition-consistent"
"SHC4",1.78120115699769,"Schwann/肿瘤细胞",-5.35922165600326e-06,0.0188263956274191,21.18,"composition-consistent"
"SPP1",2.87356935853971,"巨噬/髓系",6.86835078455065,1.95240858503565e-13,45.88,"both"
"ASPA",2.24013753268928,"Schwann/肿瘤细胞",-4.95495581432438e-07,0.813459293016424,21.18,"composition-consistent"
"HLA-DMB",2.13776713966461,"巨噬/髓系",6.70013748908427e-06,0.0430186717283736,45.88,"both"
"NFE2",-1.18318521878412,"巨噬/髓系",-2.29162700341205e-06,0.00556174868589096,45.88,"cell-intrinsic (candidate)"
"FCN1",-1.50494769687278,"巨噬/髓系",-1.0768443397607e-05,6.19981536602584e-11,45.88,"cell-intrinsic (candidate)"
"CCL21",-1.09357498955975,"周细胞",-5.6708572042498,1.23300707674986e-07,-23.07,"both"
"THRB",-1.117005231367,"周细胞",-0.544821741463641,0.0621129402524634,-23.07,"composition-consistent"
"AKIP1",1.05607102381419,"巨噬/髓系",0.819954795998034,0.000169300892928819,45.88,"both"
"MLPH",-1.16292469542714,"内皮",-4.56149032455514,1.08547292303843e-11,-16.73,"both"
"SMAD9",-1.25314903477024,"周细胞",-1.26277607592059,0.0180773657483511,-23.07,"both"
"ANXA3",2.18370622703547,"Schwann/肿瘤细胞",-7.64835021467212e-07,0.266880067310506,21.18,"composition-consistent"
"MID1",1.85780204931535,"Schwann/肿瘤细胞",2.2311907297856e-06,0.0323711217964104,21.18,"both"
"SLFN12",1.55746016619661,"Schwann/肿瘤细胞",1.79115689619098e-06,0.247768538422998,21.18,"composition-consistent"
"PDGFRA",-2.27180911341943,"成纤维",-0.185643749361663,0.489801261646188,-42.35,"composition-consistent"
"EYA1",-1.13995642417117,"成纤维",-0.193567478054681,0.460113128364893,-42.35,"composition-consistent"
"KLHL24",1.39633863581496,"Schwann/肿瘤细胞",1.97293969621536e-06,0.102575742818051,21.18,"composition-consistent"
"WASHC4",1.53307573599152,"巨噬/髓系",-6.91791790907575e-06,0.0893683736033053,45.88,"composition-consistent"
"MTCL3",1.86776741613724,NA,NA,NA,NA,"ambiguous/undetermined"
"CDH2",2.10970376588512,"Schwann/肿瘤细胞",1.58885687011829,0.00053404245290574,21.18,"both"
"RNASE6",2.4502783283431,"巨噬/髓系",-5.53032104559405e-06,0.128441048168546,45.88,"composition-consistent"
"CTDSPL",1.23497851989206,"Schwann/肿瘤细胞",1.50087842504533e-06,0.0286359840511535,21.18,"both"
"SLC30A4",1.37861264631303,"Schwann/肿瘤细胞",3.16266250574939e-06,0.0722134632423727,21.18,"composition-consistent"
"PDGFB",1.48427334697996,"内皮",3.53298713229181e-06,0.0169582283713012,-16.73,"cell-intrinsic (candidate)"
"FGF10",-1.37055393039398,"成纤维",-5.21770161691751,1.75523563546839e-06,-42.35,"both"
"YEATS2",1.14891537544796,"内皮",3.51289428610128e-06,0.0785995935024654,-16.73,"ambiguous/undetermined"
"SYNJ2",-1.35610069093909,"内皮",1.28693867892304e-06,0.371836596508406,-16.73,"composition-consistent"
"WWP1",1.60321199086045,"内皮",-3.09211425543125e-05,0.0749901710863527,-16.73,"ambiguous/undetermined"
"UCHL1",2.03166684472244,"Schwann/肿瘤细胞",3.08594468537962e-06,0.0356954593791498,21.18,"both"
"BTBD3",1.27939883899692,"Schwann/肿瘤细胞",5.4708254517743e-07,0.765409986893991,21.18,"composition-consistent"
"CHD7",1.38919866631997,"Schwann/肿瘤细胞",9.0207956339524e-07,0.568339312080747,21.18,"composition-consistent"
"ERBB3",1.87391225818736,"Schwann/肿瘤细胞",7.22652243463098e-07,0.684195695651328,21.18,"composition-consistent"
"CDH1",2.41664469604395,"Schwann/肿瘤细胞",-1.99686345269308e-06,0.801753869662794,21.18,"composition-consistent"
"RFX5",1.21837260147032,"巨噬/髓系",4.00438051446351e-06,0.231820084231365,45.88,"composition-consistent"
"HSPA12A",1.74474581084118,"Schwann/肿瘤细胞",9.4782211146594e-08,0.97286226382267,21.18,"composition-consistent"
"SHISA6",-1.21117875269622,"成纤维",0.0798199300838929,0.752900133539858,-42.35,"composition-consistent"
"TVP23A",1.59324493437779,"巨噬/髓系",2.06925369372761e-06,0.25757006212017,45.88,"composition-consistent"
"LY86",2.35754744204087,"巨噬/髓系",1.68588885201066,4.29991801303434e-09,45.88,"both"
"NMI",1.50173308843254,"巨噬/髓系",3.35392436142656e-07,0.951837987535051,45.88,"composition-consistent"
"GSAP",1.43003526500309,"巨噬/髓系",-2.06840727871453e-06,0.579106861379266,45.88,"composition-consistent"
"TM4SF1",-1.87422256718272,"内皮",1.1555520613663e-06,0.643853898137015,-16.73,"composition-consistent"
"SLC44A2",1.3692091421542,"内皮",-8.19982752620971e-06,0.115997999854552,-16.73,"ambiguous/undetermined"
"MFAP5",-3.22974550088049,"成纤维",-5.62526824853642,4.26888865393061e-10,-42.35,"both"
"ARHGEF10",1.23837331625752,"Schwann/肿瘤细胞",-5.52231329896244e-07,0.639796365892814,21.18,"composition-consistent"
"PRKAB2",1.24950328359753,"Schwann/肿瘤细胞",6.20267393615373e-06,0.759515952659165,21.18,"composition-consistent"
"ANPEP",-2.19693105256669,"成纤维",-0.0169743222117858,0.954163238393048,-42.35,"composition-consistent"
"SLC22A3",-2.40984635234079,"周细胞",-1.33246304115074,0.0008583278326948,-23.07,"both"
"ITGB4",1.85600807749962,"Schwann/肿瘤细胞",3.11474346066402e-06,0.172011147920652,21.18,"composition-consistent"
"IFI44L",2.51410379137625,"内皮",-3.37113289332692e-07,0.772267093375921,-16.73,"ambiguous/undetermined"
"ZBTB7C",-1.06679449248111,"周细胞",-0.781001657298291,0.0344436122256512,-23.07,"both"
"GALNT18",1.49323134467001,"内皮",0.794696968818372,0.00186185530381926,-16.73,"cell-intrinsic (candidate)"
"CD84",1.67721450618119,"巨噬/髓系",0.983064132591559,4.50810722514873e-07,45.88,"both"
"ADAM10",1.27903576399383,"Schwann/肿瘤细胞",1.8898516381297e-07,0.544079473148061,21.18,"composition-consistent"
"CCDC159",1.21131693773246,"Schwann/肿瘤细胞",2.40355677433495e-06,0.35841269681834,21.18,"composition-consistent"
"ITPK1",1.4760408839468,"Schwann/肿瘤细胞",4.61897096998622e-06,0.103346097595038,21.18,"composition-consistent"
"AS3MT",1.21866340523285,"成纤维",-0.155494794968791,0.419976654146447,-42.35,"ambiguous/undetermined"
"AP3M2",1.4935493795744,"T细胞",-2.54532193464816e-06,0.340060126822279,15.09,"composition-consistent"
"TANC1",1.46872624225367,"内皮",3.95414429009315e-06,0.236651747100078,-16.73,"ambiguous/undetermined"
"AVPI1",1.60718289833616,"Schwann/肿瘤细胞",5.86850028816569e-07,0.736094159749704,21.18,"composition-consistent"
"GNPTAB",1.18683590162066,"T细胞",2.93951858550301e-06,0.139083078657747,15.09,"composition-consistent"
"AKR1C1",-1.10028702231534,"成纤维",-3.12962721367822,0.000167596937964903,-42.35,"both"
"POLI",1.18049919596222,"Schwann/肿瘤细胞",1.43102833366879e-07,0.581640504312455,21.18,"composition-consistent"
