"gene","bulk_logFC","dominant_celltype","pb_log2FC_in_dom","pb_p_in_dom","dom_pct_shift_VS_minus_Nerve","class"
"GPD1L",1.10269770192984,"内皮",-1.6028639311175e-06,0.245550566913198,-16.73,"ambiguous/undetermined"
"ADGRG3",-1.32198666643176,"巨噬/髓系",-7.0235023830324,1.34596777977407e-09,45.88,"cell-intrinsic (candidate)"
"XAF1",1.43632201067078,"内皮",-1.3017711030084e-06,0.47646887402362,-16.73,"ambiguous/undetermined"
"PLXNB2",1.05119451122976,"Schwann/肿瘤细胞",2.58862715727769e-06,0.348256550940799,21.18,"composition-consistent"
"GASK1B",1.85935074857441,"Schwann/肿瘤细胞",2.43620956836073e-07,0.962376748364235,21.18,"composition-consistent"
"OSBPL11",1.32635249847726,"巨噬/髓系",-7.47050546601235e-06,0.0385976099118598,45.88,"composition-consistent"
"BLNK",1.27215390673246,"巨噬/髓系",4.14829240098973e-06,0.0169866108159381,45.88,"both"
"SCIN",2.04154183050501,"巨噬/髓系",3.27818725266255,6.75211630632961e-09,45.88,"both"
"TMEM43",1.10613773236932,"Schwann/肿瘤细胞",1.10420987501435,0.0011402030644492,21.18,"both"
"GPR65",1.75397989040247,"巨噬/髓系",-7.69906620505087e-05,0.130583279629877,45.88,"composition-consistent"
"FBXL4",1.13042398228528,"Schwann/肿瘤细胞",-5.91069755682778e-07,0.792227919869134,21.18,"composition-consistent"
"MAL",1.56769352765305,"Schwann/肿瘤细胞",-2.96193919290566e-06,0.222238788756602,21.18,"composition-consistent"
"TERF1",1.167278573101,"Schwann/肿瘤细胞",3.16261251031158e-06,0.358389419000592,21.18,"composition-consistent"
"OAS1",1.51353235233693,"巨噬/髓系",5.48329106057512e-06,0.00524313058785856,45.88,"both"
"CNTN4",1.76843056884426,"成纤维",-0.48166501061253,0.173804827407169,-42.35,"ambiguous/undetermined"
"PLD4",1.05168685648111,"巨噬/髓系",1.51261617807806,5.22782724177746e-05,45.88,"both"
"MICA",1.31751014393755,"内皮",-1.64283645135909e-06,0.513695327892952,-16.73,"ambiguous/undetermined"
"PLEKHA1",1.21616824438551,"Schwann/肿瘤细胞",2.58862007040061e-06,0.153012796901167,21.18,"composition-consistent"
"KCNJ16",-1.40216991267618,"成纤维",-6.77292994038,3.61447976356818e-06,-42.35,"both"
"CYFIP2",1.06228691287741,"T细胞",-2.96867861820352e-07,0.945255009289498,15.09,"composition-consistent"
"MASP1",-1.09513026996839,"成纤维",-2.87035655749738,0.00464082748120251,-42.35,"both"
"PCID2",1.31748298700694,"Schwann/肿瘤细胞",5.68111989626753e-06,0.0107221692063004,21.18,"both"
"CTSG",-1.047385182936,"周细胞",-0.216413990653085,0.0183673944895517,-23.07,"both"
"HSPA13",1.27360466315112,"Schwann/肿瘤细胞",2.62975591727934e-06,0.284413505530027,21.18,"composition-consistent"
"CCPG1",1.22244539501619,"成纤维",0.390186341229883,0.104358174249283,-42.35,"ambiguous/undetermined"
"PEAR1",-1.03588173056669,"内皮",8.31093295917745e-07,0.736106094318105,-16.73,"composition-consistent"
"TPCN1",1.15409994791442,"成纤维",0.355849088401453,0.275236409394489,-42.35,"ambiguous/undetermined"
"MTMR10",1.13966983984272,"Schwann/肿瘤细胞",7.02481540497547e-07,0.692562781020767,21.18,"composition-consistent"
"GCC2",1.11690590927911,"T细胞",-4.27722559630302e-06,0.224739684079214,15.09,"composition-consistent"
"WBP11",1.14714850096685,"Schwann/肿瘤细胞",3.94948493432452e-06,0.174156053901225,21.18,"composition-consistent"
"ZFP90",1.06609268571164,"Schwann/肿瘤细胞",-2.95843349184166e-07,0.865797224904236,21.18,"composition-consistent"
"ZEB2",1.07254982423053,"巨噬/髓系",-8.04405774951242e-06,0.12170274432147,45.88,"composition-consistent"
"ME2",1.13810793662298,"巨噬/髓系",0.669014501068479,0.00131867677649451,45.88,"both"
"ADAMTS12",-1.13447632610023,"成纤维",1.63351685185428,0.00207360407921133,-42.35,"composition-consistent"
"MYO5A",1.16804495347186,"巨噬/髓系",-1.04384603084195,1.04560025541626e-05,45.88,"composition-consistent"
"CD58",1.26011408044564,"巨噬/髓系",0.93506033527064,4.79869644572637e-05,45.88,"both"
"EIF2AK4",1.05821691477795,"Schwann/肿瘤细胞",1.62602119865305,0.000123045536331889,21.18,"both"
"AQP9",-2.10849775393678,"巨噬/髓系",-3.70032678577121e-06,0.00125453502597825,45.88,"cell-intrinsic (candidate)"
"BNC2",-1.48833872885582,"成纤维",-2.33615440263109,0.000672100803177906,-42.35,"both"
"PROK2",-1.38106669635081,"巨噬/髓系",-1.80296093565257e-06,0.00103777238663212,45.88,"cell-intrinsic (candidate)"
"TMEM30A",1.02564222982807,"Schwann/肿瘤细胞",1.0773008636333e-05,0.00659072747767453,21.18,"both"
"H2AC25",1.0806214281835,NA,NA,NA,NA,"ambiguous/undetermined"
"SLC2A5",1.75936283756438,"巨噬/髓系",2.85144159454436,5.72738352304918e-06,45.88,"both"
"FAM180B",-1.33723634628219,"成纤维",-8.01564916841097,1.41236569241819e-48,-42.35,"both"
"GFPT2",-1.92647402688589,"成纤维",-0.504247614729347,0.059598220275769,-42.35,"composition-consistent"
"SLC14A1",-1.95648015620509,"T细胞",-9.17510572764793e-07,0.542211399356008,15.09,"ambiguous/undetermined"
"ST6GAL1",1.65737906213416,"巨噬/髓系",0.746910421353749,0.00106874834827824,45.88,"both"
"THBS4",-1.85093223032382,"成纤维",-0.293619728054159,0.281609327507321,-42.35,"composition-consistent"
"SCIMP",1.32573992893909,"巨噬/髓系",3.17995181131385e-06,0.201087154429655,45.88,"composition-consistent"
"AFAP1L2",1.58495677699692,"Schwann/肿瘤细胞",-6.08877122442542e-07,0.709369233177751,21.18,"composition-consistent"
