cell_type,GSM973621,GSM973622,GSM973623,GSM973624,GSM973625,GSM973626,GSM973627,GSM973628,GSM973629,GSM973630,GSM973631,GSM973632,GSM973633,GSM973634,GSM973635,GSM973636,GSM973637,GSM973638,GSM973639,GSM973640,GSM973641,GSM973642,GSM973643,GSM973644,GSM973645,GSM973646,GSM973647,GSM973648,GSM973649,GSM973650,GSM973651,GSM973652,GSM973653,GSM973654,GSM973655,GSM973656,GSM973657,GSM973658,GSM973659,GSM973660
Treg cells,-0.220431299611279,-0.144182897684244,-0.19337587178455,-0.250465488333608,-0.0890949797478599,-0.236376705097065,-0.167498302939536,-0.17807890457569,-0.258450242363584,-0.140434776686139,-0.101002529031971,-0.12868898187726,-0.1727383359235,-0.118007883973778,-0.107068977241455,-0.159448664601059,-0.18928979859985,-0.212411224800848,-0.146838231448085,-0.130070243969705,-0.136040578305921,-0.118487111224691,-0.178835928667055,-0.080491889050819,-0.170946458534143,-0.18201811292793,-0.157069635773284,-0.137169793974771,-0.0586569422856413,-0.115346591650035,-0.179983547551456,-0.169303968984954,-0.168104696553239,-0.00462776954037232,-0.133552202312982,-0.18197212153007,-0.130515503108664,-0.0264697071963243,-0.178685986704899,-0.161485816600245
T follicular helper cells,0.0480648220767604,-0.0412324158534783,0.00341193624675068,0.056503735907055,0.0222088420890754,-0.0898855658031809,-0.0287497513133309,-0.0259085956876569,-0.189387989907808,0.0296063345669416,0.0425296559395978,0.0330498235252625,0.00691385668215427,0.00247028683810295,0.0216073689761259,0.0122403033470433,0.00108892119330658,0.0132541218189227,-0.0120358441389792,0.0359186727533564,0.0178879108584779,-0.00199255367819905,0.0250493182663584,0.0243723451172173,0.0120657055577261,0.00243386558843832,0.0295916938259343,0.02128594551626,0.027328849670355,0.0415991221641354,0.0807825703867021,0.0421307065611725,0.0161307765531796,0.069512235975012,-0.0206484895070265,0.036819743004116,0.0185582389493085,0.0717839538628482,0.0299610098211189,0.0239873272721629
Gamma delta T cells,0.131624162966345,-0.00418209485157146,0.11721128173355,-0.000984946805928379,0.0493855323324025,0.0195439847987129,0.101383416046175,0.16065175628787,-0.15185283476765,-0.07266205743175,0.0847736529960901,0.0783504373103545,-0.0254820433894582,-0.0490092591329204,0.0881128472340501,-0.0480662564678433,-0.110469584824526,-0.0777493231139157,-0.100386683078242,-0.0984800591493829,-0.019736899744994,0.265092484211946,-0.00255651788803822,0.19367546569477,-0.0146870310909664,0.0509073486837443,0.172522831610665,0.114539889848544,0.198075710909496,-0.10391323070363,-0.0300772056149724,-0.0338507761836888,-0.0479259349093527,0.341399664335251,-0.0127080828878147,-0.223849845713382,0.162204734643859,0.0135466667252181,0.050452253283492,0.0614741178392524
Cytotoxic cells,0.187994192041527,0.0352722209906919,0.0152816873544631,-0.0712855643383256,0.13937511817244,-0.0826032850892968,-0.048091904232747,-0.157097326558783,-0.158850204405197,-0.143527626096237,-0.0154106920886133,-0.125730545720009,-0.172028134850261,-0.175825891000633,-0.151983452917918,-0.255067425840933,-0.202374741559395,-0.11838158347545,-0.186173120981391,-0.130814571620929,-0.0770245116554833,-0.0621298544755118,-0.195874347273655,-0.117087448452356,-0.194139867978576,-0.0760547904070117,-0.0131923662339324,-0.00426871256259779,-0.0336441219499916,-0.0966116679661845,-0.159882339600422,-0.0762722793217093,-0.185668610326795,0.0789074439991018,-0.192653976669979,-0.222528010991321,-0.0229710521921435,-0.13397113646493,-0.105297843882249,-0.113450731926536
NK cells,0.16666813992659,0.160260753833684,0.0678582396077182,0.0739028899334602,0.217836327283238,0.178105686978918,0.0578048369965573,-0.000743274624317619,-0.119136743213438,0.108614177796484,0.14101445206266,0.108010591868123,0.0947635337728789,0.112484453736247,0.113260741713902,0.0453979657867017,0.0926959744277843,0.037852183296186,0.0714490086924708,0.0867507750596609,0.0948565366916525,0.140799086708832,0.0834858120905175,0.146688995988613,0.0820567800713344,0.153164090334619,0.164081164856018,0.155414102970718,0.141683984823825,0.066125180184595,0.111713760849467,0.124760586855219,0.0748359294921497,0.22760066231435,0.0793870962072735,0.0665568421546323,0.14539886006667,0.0976996957251643,0.108970199647838,0.138632404384716
CD56bright NK cells,-0.269607390111749,-0.328482304865919,-0.22793720886618,-0.219127841374957,-0.223590700162733,-0.181933236111602,-0.253004540554535,-0.0699658806662974,-0.324848888046847,-0.216127464226143,-0.168692250570217,-0.206699405305689,-0.226611717153178,-0.219384784398423,-0.157792478122572,-0.18142898130641,-0.209200855083413,-0.225575946661567,-0.154889125312119,-0.237500065900763,-0.19367023116294,-0.0258288067500072,-0.19103151853767,-0.00655205729019558,-0.178421260192631,-0.162710925832381,-0.0840668459414833,-0.0952776625328822,-0.071299934046607,-0.188462656110281,-0.106387189247247,-0.219642098138796,-0.175122058515933,0.0564667033209907,-0.172249252199657,-0.23373020317328,-0.129661810686203,-0.216313329902285,-0.180060199513348,-0.224612424180842
CD56dim NK cells,0.102861079283797,0.0497904214921949,0.0733706247573187,0.082497121036418,0.178557696282957,0.0355981432564177,-0.072179482453378,-0.11568047591119,-0.213448629708842,0.0705634407565032,0.179833250408829,0.0486461529400566,0.0629308004179429,0.0516895748111885,0.062242179487552,-0.062716794867329,0.0495305207236424,0.0668080767663564,0.0217339937534696,0.0598726975133216,0.133092373722243,0.120268812603167,0.0381218856852883,0.0885119098799892,0.0376288081943299,0.147356461099644,0.146807885771375,0.177768537221055,0.136929053319825,0.0937080543563314,0.0716374544839533,0.1509576773698,0.0586570633552004,0.195205799901987,-0.00488638729173917,0.0193609631911263,0.152201207923892,0.102121552677257,0.133267237474521,0.124739848231676
Dendritic cells,0.336257452150768,0.325001104091177,0.293158409680391,0.302692445760353,0.352401029953493,0.314536758296918,0.321746395258673,0.424551762247445,-0.0338923151168736,0.277335098150599,0.286844270478799,0.274214575889591,0.291311931661895,0.289717750073023,0.307876493338903,0.270807266686851,0.276875119477343,0.268031615323371,0.273517350011024,0.258377497389899,0.300180430554092,0.320316891565658,0.261282659123841,0.255670762357031,0.263214245032047,0.308680624392043,0.256573030772815,0.288950999628445,0.287973073828214,0.267798538345238,0.293549480163991,0.30829145466248,0.29422947789178,0.300629152267369,0.262815384809405,0.264368694095513,0.322482058478082,0.308017591035315,0.270881648211225,0.298202491536413
Activated dendritic cells,0.247651603759347,0.222731278986025,0.191132448396629,0.186991308206424,0.275338834964925,0.247246307463309,0.258980959100927,0.309966457448036,-0.0395818068503606,0.278064832722293,0.270489147327866,0.23404621595098,0.27152477019818,0.203380142060052,0.226850765922084,0.213044109967796,0.239313187990842,0.184509293382799,0.269722147817036,0.214167137838916,0.224590199346062,0.302655893996656,0.21613781364278,0.263518187720426,0.204323673115883,0.280809276624459,0.200862547135957,0.279511466683099,0.258996019756056,0.251267255333599,0.313499534389307,0.280784931789053,0.251477563982073,0.357162991403317,0.169778212022099,0.197085200778244,0.285540866621338,0.290887882795325,0.268725713635803,0.22041147431645
Immature dendritic cells,0.228006725205398,0.194645996094465,0.095139259192171,0.0934036347652759,0.25620266198102,0.0853629328900466,0.122047538626166,0.237947902101187,-0.0818652379580708,0.0514598616664425,0.0701027998006114,0.0405037647141391,0.0612041119945331,0.0463123066450595,0.0729077669758606,0.0358063393165375,0.0274944529865922,0.016372475816852,0.0314514299814116,0.0172664458530653,0.0593426289932669,0.0900979704714128,0.0105064107769551,0.0185517034171539,0.0114207886255275,0.0748483778548902,0.00659750990187906,0.062957878413905,0.0568211555347779,0.0194112471277215,0.0934318839509276,0.0895308268466399,0.0514057269602149,0.095852587926858,0.0100479566735153,0.0201676706736623,0.11445074604068,0.091942859753155,0.0262569702457205,0.0646125818163767
