gene,module,direction,kME,GS,logFC,adj.P.Val,is_hub
MINDY3,turquoise,up,0.925444328054833,0.67999613328711,0.955162151175792,1.1844653946027e-05,FALSE
RCOR3,turquoise,up,0.925243436074874,0.69262420488876,0.749957042077101,9.43885670645847e-06,FALSE
SLC4A2,turquoise,up,0.925224491098554,0.783626809079766,0.723602800806482,2.14206589432572e-07,FALSE
ATG2B,turquoise,up,0.925156801008606,0.583160433984059,0.683011128795684,0.000311732998620862,FALSE
KANSL2,turquoise,up,0.925045643745118,0.664864072337797,0.558810287963763,3.7303004793114e-05,FALSE
GMFB,turquoise,up,0.924979784595861,0.752788113297452,1.23446773782035,3.74357514613853e-07,TRUE
MSH3,turquoise,up,0.924744733044817,0.664634407548003,0.669306285004626,2.68311064013283e-05,FALSE
SCAMP1,turquoise,up,0.924508306837643,0.598245632626017,0.823722521562839,0.000199789850492693,FALSE
LRCH3,turquoise,up,0.924139753788997,0.70789659713275,0.972456518549734,4.2734924732525e-06,FALSE
HEATR5A,turquoise,up,0.923963982091148,0.696183904372997,0.91206022607479,6.62381481644539e-06,FALSE
ELMO2,turquoise,up,0.923750471289246,0.675711460554405,0.720261338260604,2.10375288895416e-05,FALSE
SLU7,turquoise,up,0.923494515828585,0.700189585588804,1.14783061384889,4.80715161271346e-06,TRUE
ANKRD13C,turquoise,up,0.923374914633151,0.555211010369342,0.692229954026986,0.000631378197176928,FALSE
ZNF585B,turquoise,up,0.923153242603163,0.706422663289029,0.797070810122594,4.68159973639213e-06,FALSE
AQR,turquoise,up,0.923102338651513,0.549543122640007,0.63781274414495,0.000771308749970937,FALSE
TMEM62,turquoise,up,0.923085121482359,0.87110994115903,1.12970386384426,6.6816895066786e-11,TRUE
WBP11,turquoise,up,0.922960905281043,0.742526451386796,1.14714850096685,7.26776142474147e-07,TRUE
RAB28,turquoise,up,0.922894714818747,0.5494749264477,0.637670660700079,0.000744412144017355,FALSE
CLCN6,turquoise,up,0.922803551754499,0.744477110165217,0.972236215378571,8.29048525839264e-07,FALSE
KIAA0232,turquoise,up,0.922660016936872,0.681761627961008,0.836291998885893,1.24055044240499e-05,FALSE
ADD1,turquoise,up,0.922501373622724,0.695187580550002,0.845487471923672,7.92458778358949e-06,FALSE
COG3,turquoise,up,0.922432017230145,0.493314083496654,0.51652227732614,0.00286458513661902,FALSE
TCAIM,turquoise,up,0.922175445059006,0.685359100231164,0.765780752810334,1.08362230292162e-05,FALSE
