gene,module,direction,discovery_logFC,validation_logFC,direction_concordant
CLMP,yellow,down,-1.89879292869622,-2.92954438888889,TRUE
CLN5,turquoise,up,1.13903337400848,0.133123509259259,TRUE
CNP,turquoise,up,1.1669679896916,0.93510835185185,TRUE
CORO2B,turquoise,up,1.19267720345721,1.58031609259259,TRUE
CPT1A,turquoise,up,1.00007269215575,0.164925685185185,TRUE
CRABP2,yellow,down,-2.10060485061141,-0.446195712962964,TRUE
CRYZ,turquoise,up,1.06791087865845,0.207168444444444,TRUE
CSNK1G3,turquoise,up,1.21052558888281,0.264049796296296,TRUE
CTSO,turquoise,up,1.39014185158905,0.189750111111106,TRUE
CYP2U1,turquoise,up,1.46640136273632,0.462879953703705,TRUE
CYP4V2,turquoise,up,1.06598498539553,0.355277537037038,TRUE
CYP4X1,yellow,down,-1.0821342429576,-4.68835244444445,TRUE
DACT1,yellow,down,-1.21795728670701,-2.52974638888889,TRUE
DAG1,turquoise,up,1.35907270053354,0.693781611111113,TRUE
DCTN6,turquoise,up,1.10495093093061,0.166045092592594,TRUE
DNAAF9,turquoise,up,1.40103521713416,0.861534351851853,TRUE
DPP4,yellow,down,-1.60830489349499,-2.14020757407407,TRUE
DRAM1,turquoise,up,1.33865914777487,1.38692703703704,TRUE
DTX3L,turquoise,up,1.4410687005027,1.24244052777778,TRUE
EBF1,yellow,down,-1.80914215893523,-4.00679185185185,TRUE
EBF3,yellow,down,-1.49727661190054,-3.03556712962963,TRUE
ECHDC1,turquoise,up,1.51316523539553,0.932641138888886,TRUE
EDIL3,turquoise,up,2.13154336260987,2.68870874074074,TRUE
EDNRA,yellow,down,-1.61458846831919,-2.23740437962963,TRUE
EEA1,turquoise,up,1.39353749129761,0.0301792592592598,TRUE
EEIG1,turquoise,up,1.31763807018967,0.72917186111111,TRUE
EGFR,yellow,down,-2.06827535855359,-3.59773544444444,TRUE
EHBP1,turquoise,up,2.05839585952969,1.06972,TRUE
EIF2AK2,turquoise,up,1.47416443188589,1.0652737962963,TRUE
EMC2,turquoise,up,1.03117780192136,-0.0406321666666667,FALSE
ENO2,turquoise,up,1.02785871532922,0.668961259259261,TRUE
ERAP1,turquoise,up,1.20773198487279,0.59886712962963,TRUE
ERBB2,turquoise,up,1.37636772012722,0.908829944444445,TRUE
ERBIN,turquoise,up,1.19364159160833,0.490984259259259,TRUE
ERMARD,turquoise,up,1.01691309761218,0.170375805555555,TRUE
ETAA1,turquoise,up,1.36846124459676,0.320064500000001,TRUE
EVI5,turquoise,up,1.93204718023362,0.573409870370371,TRUE
EXOSC10,turquoise,up,1.08127898613416,0.511433740740742,TRUE
EZH1,turquoise,up,1.16345119314804,-0.445090222222222,FALSE
FABP4,yellow,down,-3.92368937910717,-6.69622660185185,TRUE
FAM13C,yellow,down,-1.15249260881573,-2.21643093518518,TRUE
FAM177A1,turquoise,up,1.14108539831612,-0.0251791851851877,FALSE
FAM229B,turquoise,up,1.34757613064842,0.558564046296296,TRUE
FBLN1,yellow,down,-2.17751430224903,-2.24418005555555,TRUE
FBXL2,turquoise,up,1.12832893039476,0.721038555555555,TRUE
FBXL4,turquoise,up,1.13042398228528,0.130037731481483,TRUE
FBXO28,turquoise,up,1.04075447000694,0.77413812037037,TRUE
FER,turquoise,up,1.51023460187818,0.539126574074073,TRUE
FIBIN,yellow,down,-2.03742797157209,-4.10552119444445,TRUE
FLRT2,yellow,down,-1.35458050515652,-4.31993357407408,TRUE
FMNL3,turquoise,up,1.41354738222205,0.923123388888889,TRUE
FNDC5,yellow,down,-1.09116899133539,0.129475361111113,FALSE
FRMD4A,turquoise,up,1.31134645728836,1.96259197222222,TRUE
FRYL,turquoise,up,1.06012739577024,-0.130618444444442,FALSE
GBA1,turquoise,up,1.49130460265613,0.986965583333333,TRUE
GHR,yellow,down,-1.23603556627756,-1.50681246296296,TRUE
GLB1,turquoise,up,1.11419884922513,0.818448425925927,TRUE
GMFB,turquoise,up,1.23446773782035,0.477293148148149,TRUE
GPC6,yellow,down,-1.16611455996068,-2.66510975,TRUE
GPD1L,turquoise,up,1.10269770192984,0.211953972222224,TRUE
GSAP,turquoise,up,1.43003526500309,1.42087267592592,TRUE
GTF2H5,turquoise,up,1.03415780899307,0.731640351851853,TRUE
HCFC2,turquoise,up,1.29480528640324,0.273434453703706,TRUE
HDAC11,turquoise,up,1.30134740514033,0.162699296296295,TRUE
HPS3,turquoise,up,1.33017501750656,1.35224544444444,TRUE
HPS5,turquoise,up,1.63957722372244,0.930910240740742,TRUE
HSPA13,turquoise,up,1.27360466315112,0.261242851851854,TRUE
HTATIP2,turquoise,up,1.33470462238705,0.579781175925925,TRUE
