ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0048864,stem cell development,14/936,87/18805,0.160919540229885,3.23300422438353,4.77784845661905,9.44902526257854e-05,0.00216125731334856,0.00170876417144599,NRG1/SEMA3B/SEMA7A/SEMA4B/BCL2/CDH2/EDNRB/RDH10/SEMA3C/SEMA5A/PHACTR4/SEMA6D/BMP7/SEMA3D,14
GO:0150076,neuroinflammatory response,14/936,87/18805,0.160919540229885,3.23300422438353,4.77784845661905,9.44902526257854e-05,0.00216125731334856,0.00170876417144599,TREM2/TLR3/SNCA/CX3CR1/C1QA/BPGM/SYT11/IL18/TLR1/ZEB2/IFNGR1/AIF1/TLR2/CD200,14
GO:0002275,myeloid cell activation involved in immune response,15/936,98/18805,0.153061224489796,3.07512428048142,4.71376576534646,9.69757423601785e-05,0.00220323899455836,0.00174195632874503,TREM2/ANXA3/NMI/CD84/CX3CR1/FER/IFI35/LGALS9/BTK/MILR1/HAVCR2/VAMP8/DOCK2/SYK/FCER1G,15
GO:0030041,actin filament polymerization,20/936,156/18805,0.128205128205128,2.57574512382205,4.52307113255318,9.71706555605795e-05,0.00220323899455836,0.00174195632874503,SLIT2/TMOD2/MICALL2/COBL/NCK1/NCKAP1L/FER/FHDC1/INF2/WASHC2C/SCIN/CYFIP2/AIF1/ARHGAP18/WASHC3/RDX/CYFIP1/WASHC5/CAPG/HCLS1,20
GO:0043122,regulation of canonical NF-kappaB signal transduction,31/936,300/18805,0.103333333333333,2.07605056980057,4.29993297075106,0.000100416510781147,0.00226697880399863,0.00179235120861132,TREM2/TLR3/TRIM22/NEK6/TLE1/SLC44A2/CX3CR1/CASP1/CARD11/TLR7/CD4/TAB2/LGALS9/EDNRB/ATP2C1/TRIM38/CYLD/STAT1/IFIT5/LILRB4/BIRC3/CD74/AZI2/BIRC2/S100B/TNFRSF19/BST2/IRAK3/PRKD1/ZFAND6/PLK2,31
GO:0034315,regulation of Arp2/3 complex-mediated actin nucleation,8/936,31/18805,0.258064516129032,5.18472566859664,5.33681753106119,0.000103562158002475,0.00232791661199529,0.00184053073001676,ARFIP1/WASHC4/WASHC2C/WASHC2A/GMFB/WASHC3/CYFIP1/WASHC5,8
GO:0002703,regulation of leukocyte mediated immunity,28/936,260/18805,0.107692307692308,2.16362590401052,4.3241381150304,0.000106005099611531,0.00236246407894929,0.00186784514250277,AHR/TREM2/MR1/TLR3/CD84/CX3CR1/RIGI/NCKAP1L/FCGR1A/IL18/LGALS9/BTK/RSAD2/SERPINB9/MICA/SCIMP/HLA-DRA/LILRB4/DENND1B/INPP5D/HAVCR2/VAMP8/STX7/C3/FCGR2B/SYK/HLA-DRB3/BST2,28
GO:0032869,cellular response to insulin stimulus,28/936,260/18805,0.107692307692308,2.16362590401052,4.3241381150304,0.000106005099611531,0.00236246407894929,0.00186784514250277,GRB14/PTPRJ/MET/RAB31/ERBB2/CSF1R/NCK1/KAT2B/FER/SGCB/CTSD/TYRO3/EPHA3/DDR1/STAT1/MYO5A/SLC27A1/MERTK/RARRES2/NTRK2/RB1/SOS2/CYFIP1/RAB10/EPHA5/SORL1/PDK4/MSTN,28
GO:0007422,peripheral nervous system development,14/936,88/18805,0.159090909090909,3.19626554001554,4.72629673195685,0.00010730164341187,0.00236927141876499,0.00187322725887924,NRG1/LGI4/GFRA3/ERBB2/DAG1/ERBB3/ARHGEF10/ITGB4/EDNRB/NTRK2/LAMA2/PMP22/SH3TC2/UGT8,14
GO:0001794,type IIa hypersensitivity,5/936,11/18805,0.454545454545455,9.13218725718726,6.17457432860917,0.000108582141722882,0.00236927141876499,0.00187322725887924,FCGR3A/FCGR1A/C3/FCGR2B/FCGR2A,5
GO:0002445,type II hypersensitivity,5/936,11/18805,0.454545454545455,9.13218725718726,6.17457432860917,0.000108582141722882,0.00236927141876499,0.00187322725887924,FCGR3A/FCGR1A/C3/FCGR2B/FCGR2A,5
GO:0031666,positive regulation of lipopolysaccharide-mediated signaling pathway,5/936,11/18805,0.454545454545455,9.13218725718726,6.17457432860917,0.000108582141722882,0.00236927141876499,0.00187322725887924,LY86/SCIMP/BMP6/CD14/LY96,5
GO:0098870,action potential propagation,5/936,11/18805,0.454545454545455,9.13218725718726,6.17457432860917,0.000108582141722882,0.00236927141876499,0.00187322725887924,SCN9A/NRCAM/SCN1B/NTRK2/ATP1A2,5
GO:0002696,positive regulation of leukocyte activation,36/936,372/18805,0.0967741935483871,1.94427212572374,4.21001409073664,0.00011125052541301,0.00241738120845353,0.00191126450895948,FCGR3A/TREM2/HLA-DOA/BCL2/HLA-DMB/PLA2G4A/HLA-DMA/NCK1/TOX/CARD11/NCKAP1L/HLA-DPB1/CD4/IL18/LGALS9/CD86/BTK/CYLD/HLA-DPA1/PCID2/HLA-DRA/LILRB4/AIF1/IGFBP2/CD74/INPP5D/HAVCR2/PDCD1LG2/HLA-DQA1/SYK/HLA-DRB3/TNFSF13B/GPR183/HLA-DQB1/HLA-DRB5/THY1,36
GO:0019226,transmission of nerve impulse,13/936,78/18805,0.166666666666667,3.34846866096866,4.75675612916139,0.0001153424036449,0.0024909014451288,0.00196939213010436,SCN9A/KCNMB4/ANK3/NRCAM/SCN1B/GBA1/P2RX4/PENK/NTRK2/KCNA2/ITGA2/ATP1A2/SCN2A,13
GO:0038063,collagen-activated tyrosine kinase receptor signaling pathway,11/936,58/18805,0.189655172413793,3.81032640730917,4.90588984580924,0.000116066932150776,0.0024909014451288,0.00196939213010436,MET/ERBB2/CSF1R/COL4A1/TYRO3/EPHA3/DDR1/MERTK/NTRK2/EPHA5/SYK,11
GO:0045010,actin nucleation,11/936,58/18805,0.189655172413793,3.81032640730917,4.90588984580924,0.000116066932150776,0.0024909014451288,0.00196939213010436,ARFIP1/WASHC4/ARPC1B/WASHC2C/WASHC2A/GMFB/SCIN/WASHC3/CYFIP1/WASHC5/IQGAP2,11
GO:0050864,regulation of B cell activation,18/936,134/18805,0.134328358208955,2.69876578645235,4.5166354255705,0.000117152373659966,0.0025038919206423,0.00197966284566905,AHR/BCL2/CARD11/NCKAP1L/BTK/CYLD/PCID2/CDKN2A/CD74/INPP5D/FCGR2B/SYK/LAPTM5/ID2/TNFSF13B/GPR183/TNFRSF21/SAMSN1,18
GO:0030888,regulation of B cell proliferation,12/936,68/18805,0.176470588235294,3.54543740573152,4.81260004780367,0.00011911098260368,0.00253536234399262,0.00200454444192745,AHR/BCL2/CARD11/NCKAP1L/BTK/CDKN2A/CD74/INPP5D/FCGR2B/TNFSF13B/GPR183/TNFRSF21,12
GO:0001941,postsynaptic membrane organization,9/936,40/18805,0.225,4.52043269230769,5.10110987269155,0.000122171712146348,0.00256716388243569,0.00202968782913672,NRXN1/GLRB/CDH2/FRRS1L/ZMYND8/RELN/NLGN3/APOE/CHRDL1,9
GO:0051125,regulation of actin nucleation,9/936,40/18805,0.225,4.52043269230769,5.10110987269155,0.000122171712146348,0.00256716388243569,0.00202968782913672,ARFIP1/WASHC4/WASHC2C/WASHC2A/GMFB/SCIN/WASHC3/CYFIP1/WASHC5,9
